ZIP,latitude,longitude,city,state,county,population_2010,population_2020
89013,37.7085,-117.2356,Goldfield,NV,Esmeralda,285,261
89014,36.0564,-115.078,Henderson,NV,Clark,36922,40761
89015,36.0357,-114.9718,Henderson,NV,Clark,38993,41203
89017,37.5926,-115.2262,Hiko,NV,Lincoln,176,187
89018,36.5697,-115.6706,Indian Springs,NV,Clark,1007,1026
89019,35.7368,-115.5405,Jean,NV,Clark,2673,2501
89020,36.539,-116.5496,Amargosa Valley,NV,Nye,1456,1158
89021,36.5935,-114.4683,Logandale,NV,Clark,3605,3270
89022,38.5388,-117.0734,Manhattan,NV,Nye,69,133
89025,36.6916,-114.6514,Moapa,NV,Clark,1400,1194
89026,35.7789,-115.3239,Jean,NV,Clark,150,161
89027,36.8113,-114.1235,Mesquite,NV,Clark,15275,17547
89029,35.1321,-114.6368,Laughlin,NV,Clark,7546,8927
89030,36.2115,-115.1241,North Las Vegas,NV,Clark,53928,56399
89031,36.2589,-115.1718,North Las Vegas,NV,Clark,60589,73386
89032,36.218,-115.1709,North Las Vegas,NV,Clark,40297,47324
89039,35.2522,-114.8714,Cal Nev Ari,NV,Clark,316,242
89040,36.5703,-114.4732,Overton,NV,Clark,3721,3265
89042,37.7905,-114.3894,Panaca,NV,Lincoln,1010,938
89043,37.8981,-114.3968,Pioche,NV,Lincoln,1429,1250
89044,35.9025,-115.1789,Henderson,NV,Lincoln,14260,27576
89045,38.711,-117.0676,Round Mountain,NV,Nye,1505,1574
89046,35.5132,-114.8866,Searchlight,NV,Clark,660,562
89047,37.7225,-117.7965,Silverpeak,NV,Esmeralda,107,121
89048,36.1661,-116.0038,Pahrump,NV,Nye,21169,25166
89049,38.0672,-117.2301,Tonopah,NV,Nye,2727,2499
89052,35.9878,-115.1167,Henderson,NV,Clark,47214,59987
89054,35.935,-115.2058,Sloan,NV,Clark,105,52
89060,36.2645,-116.0393,Pahrump,NV,Nye,10227,11857
89061,36.1184,-115.9407,Pahrump,NV,Nye,5252,7891
89074,36.0384,-115.0857,Henderson,NV,Clark,47095,52243
89081,36.2583,-115.1068,North Las Vegas,NV,Clark,29774,40772
89084,36.2815,-115.1482,North Las Vegas,NV,Clark,21837,31369
89085,36.3097,-115.1981,North Las Vegas,NV,Clark,3367,4261
89086,36.2809,-115.1349,North Las Vegas,NV,Clark,4726,6149
89101,36.1721,-115.1224,Las Vegas,NV,Clark,46055,42465
